Date,Time,Relative_time,QCM_6_temperature,QCM_6_frequency,QCM_6_dissipation,QCM_1_temperature,QCM_1_frequency,QCM_1_dissipation
2020-08-28,19:01:51.149,00.000,31.31,9978120,0,29.13,10005720,0
2020-08-28,19:01:57.814,57.814,31.38,9977960,0,29.06,10005720,0
2020-08-28,19:02:04.483,04.483,31.38,9978120,0,29.06,10005720,0
2020-08-28,19:02:11.131,11.131,31.31,9978000,0,29.13,10005760,0
2020-08-28,19:02:17.800,17.800,31.38,9978040,0,29.13,10005760,0
2020-08-28,19:02:24.461,24.461,31.44,9978120,0,29.13,10005760,0
2020-08-28,19:02:31.124,31.124,31.38,9978120,0,29.13,10005720,0
2020-08-28,19:02:37.786,37.786,31.38,9978040,0,29.13,10005760,0
2020-08-28,19:02:44.452,44.452,31.38,9978000,0,29.13,10005760,0
2020-08-28,19:02:51.114,51.114,31.38,9978080,0,29.13,10005760,0
2020-08-28,19:02:57.758,57.758,31.38,9978040,0,29.06,10005760,0
2020-08-28,19:03:04.418,04.418,31.38,9978000,0,29.13,10005760,0
